,Date Created,Tweet Count,News Source,Tweet Text,Compound Score,Positive Score,Negative Score,Neutral Score
376,Sun Jan 07 02:08:00 +0000 2018,77,Fox News,'You've Departed Science': @TuckerCarlson Battles Activist Over 'Bomb Cyclone' and Global Warming https://t.co/DEjYWyHdEq,-0.6369,0.092,0.575,0.333
377,Sun Jan 07 02:06:06 +0000 2018,78,Fox News,"SUNDAY: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p ET… https://t.co/ZyI97lQ1wE",0.7096,0.258,0.742,0.0
378,Sun Jan 07 02:01:24 +0000 2018,79,Fox News,OPINION: Why political risks may dampen world economies in 2018  https://t.co/CXwsjQtnca,-0.2732,0.0,0.826,0.174
379,Sun Jan 07 01:52:33 +0000 2018,80,Fox News,".@ScottBaio on @POTUS: ""I'm from Brooklyn, President @realDonaldTrump is from Queens. This is what we do, we mess w… https://t.co/aAHhOl2pyY",-0.3612,0.0,0.884,0.116
380,Sun Jan 07 04:25:02 +0000 2018,81,Fox News,".@POTUS: ""The wall's going to happen or we're not going to have DACA."" https://t.co/jo9DM3thj8 https://t.co/kBdLaCfQNk",0.0,0.0,1.0,0.0
381,Sun Jan 07 04:15:06 +0000 2018,82,Fox News,".@POTUS: ""[Michael Wolff] didn't interview me. It's in his imagination."" https://t.co/tCsh53Hebk https://t.co/fof94OcPw0",0.0,0.0,1.0,0.0
382,Sun Jan 07 04:00:02 +0000 2018,83,Fox News,".@SebGorka: ""One thing I can assure you is that wall will be built."" https://t.co/WKnu6O4gZT",0.34,0.167,0.833,0.0
383,Sun Jan 07 03:55:00 +0000 2018,84,Fox News,Trump backs Sen. Paul's plan to fund infrastructure projects with suspended aid to Pakistan https://t.co/4raLtlQ8IN,-0.5106,0.0,0.751,0.249
384,Sun Jan 07 03:48:02 +0000 2018,85,Fox News,"This morning, President @realDonaldTrump celebrated the economic numbers for African Americans.… https://t.co/w0ZFeExNKT",0.5719,0.252,0.748,0.0
385,Sun Jan 07 03:42:52 +0000 2018,86,Fox News,'Schumer's From New York': Trump Says Dems Will Help With Immigration Reform After NYC Attacks https://t.co/XOId1yF5G5,-0.0516,0.138,0.714,0.148
386,Sun Jan 07 03:36:06 +0000 2018,87,Fox News,".@AriFleischer on Clinton Foundation probe: ""This investigation is not a sham, it's a leftover. A leftover from the… https://t.co/W1wZBGzIlF",0.0,0.0,1.0,0.0
387,Sun Jan 07 03:29:11 +0000 2018,88,Fox News,"New Philadelphia DA shakes up office, firing 31 on 4th day in job https://t.co/NxNoRHC054",-0.34,0.0,0.844,0.156
388,Sun Jan 07 03:19:11 +0000 2018,89,Fox News,Oakland Raiders officially announce Jon Gruden hired as head coach https://t.co/bt30S69oMw,0.0,0.0,1.0,0.0
389,Sun Jan 07 03:09:33 +0000 2018,90,Fox News,"Col. David Hunt on Iran protests: ""What we ultimately want is an overthrow of a very powerful regime. I don't think… https://t.co/4FywYoHVSA",0.3597,0.189,0.73,0.082
390,Sun Jan 07 02:54:41 +0000 2018,91,Fox News,"David Goodfriend on @POTUS and the media: ""The people who voted for President Trump I think recognize that he's the… https://t.co/fRr8I3mQIj",0.0,0.0,1.0,0.0
391,Sun Jan 07 02:51:28 +0000 2018,92,Fox News,".@SebGorka on new Clinton probe: ""We saw FBI agents destroy Clinton's laptops. That's corruption."" @JudgeJeanine https://t.co/wAVctxoQUB",-0.5423,0.0,0.811,0.189
392,Sun Jan 07 02:47:41 +0000 2018,93,Fox News,".@SebGorka on new Clinton probe: ""This has to be investigated preferably by FBI agents from field offices that have… https://t.co/lO9m5462IW",0.0,0.0,1.0,0.0
393,Sun Jan 07 02:38:46 +0000 2018,94,Fox News,".@Jim_Jordan on Clinton probe: ""Until this week, we hadn't seen much difference between this attorney general and t… https://t.co/A4OpogQjxs",0.0,0.0,1.0,0.0
394,Sun Jan 07 02:33:26 +0000 2018,95,Fox News,".@RepMarkMeadows on new Clinton probe: ""If the attorney general is willing to be transparent, we'll applaud him...… https://t.co/rssE7rBRjb",0.4588,0.15,0.85,0.0
395,Sun Jan 07 02:25:19 +0000 2018,96,Fox News,".@JudgeJeanine: ""And for all those naysayers who say this is nothing more than a deflection from the Mueller invest… https://t.co/B5onJn0Sr3",0.0,0.0,1.0,0.0
396,Sun Jan 07 02:08:00 +0000 2018,97,Fox News,'You've Departed Science': @TuckerCarlson Battles Activist Over 'Bomb Cyclone' and Global Warming https://t.co/DEjYWyHdEq,-0.6369,0.092,0.575,0.333
397,Sun Jan 07 02:06:06 +0000 2018,98,Fox News,"SUNDAY: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p ET… https://t.co/ZyI97lQ1wE",0.7096,0.258,0.742,0.0
398,Sun Jan 07 02:01:24 +0000 2018,99,Fox News,OPINION: Why political risks may dampen world economies in 2018  https://t.co/CXwsjQtnca,-0.2732,0.0,0.826,0.174
399,Sun Jan 07 01:52:33 +0000 2018,100,Fox News,".@ScottBaio on @POTUS: ""I'm from Brooklyn, President @realDonaldTrump is from Queens. This is what we do, we mess w… https://t.co/aAHhOl2pyY",-0.3612,0.0,0.884,0.116
